Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
"LAPORAN POSISI KEUANGANPT BANK RAKYAT INDONESIA (PERSERO) TbkTanggal 30 Juni 2023 dan 31 Desember 2022(dalam jutaan rupiah)",,,,,
No.,POS - POS,INDIVIDUAL,KONSOLIDASIAN,,
,"30 Juni 2023(Direviu)","31 Desember 2022(Diaudit)","30 Juni 2023(Direviu)","31 Desember 2022(Diaudit)",
,,,,,
ASET,,,,,
1.,Kas,28.285.017,27.320.384,28.403.964,27.407.478
2.,Penempatan pada Bank Indonesia,108.818.110,204.173.428,109.973.583,206.099.330
3.,Penempatan pada bank lain,42.530.543,34.472.665,44.983.629,36.700.721
4.,Tagihan spot dan derivatif/forward,1.109.328,911.405,1.109.328,911.405
5.,Surat berharga yang dimiliki,299.565.364,337.827.485,322.328.099,358.783.819
6.,Surat berharga yang dijual dengan janji dibeli kembali (repo),25.971.983,10.309.955,25.971.983,10.608.374
7.,"Tagihan atas surat berharga yang dibeli dengan janji dijual kembali(reverse repo)",22.283.995,51.014.678,22.823.619,51.014.678
8.,Tagihan akseptasi,7.617.863,7.096.719,7.617.863,7.167.600
9.,Kredit yang diberikan,1.089.371.656,1.029.802.549,1.137.528.613,1.079.274.819
10.,Pinjaman syariah,-,-,11.693.680,10.514.329
11.,Piutang Pembiayaan,-,-,52.907.202,49.287.917
12.,Penyertaan modal,48.809.935,47.936.173,6.772.974,6.506.903
13.,Aset keuangan lainnya,19.528.743,17.673.390,25.972.714,24.129.862
14.,Cadangan kerugian penurunan nilai aset keuangan -/-,,,,
,a.Surat berharga yang dimiliki,(2.318.716),(1.712.512),(2.321.148),(1.721.764)
,"b.Kredit yang diberikan",(79.939.511),(84.578.819),(84.801.750),(89.610.033)
,c.Lainnya,(305.512),(155.231),(3.744.320),(3.636.231)
15.,Aset tidak berwujud,-,-,806.416,806.416
,Akumulasi amortisasi aset tidak berwujud -/-,-,-,-,-
16.,Aset tetap dan inventaris,56.407.350,54.097.275,76.888.389,73.951.201
,Akumulasi penyusutan aset tetap dan inventaris -/-,(15.551.847),(14.582.523),(20.260.668),(18.735.154)
17.,Aset non produktif,,,,
,a.Properti terbengkalai,17.385,17.385,17.385,17.385
,"b.Agunan yang diambil alih",60.125,62.732,64.962,67.569
,c.Rekening tunda,-,-,-,-
,"d.Aset antarkantor",54.724,6.717,54.724,6.717
18.,Aset lainnya,32.446.667,29.300.818,40.355.073,36.085.669
,TOTAL ASET,1.684.763.202,1.750.994.673,1.805.146.314,1.865.639.010
LIABILITAS DAN EKUITAS,,,,,
,LIABILITAS,,,,
1.,Giro,298.983.695,349.491.946,298.309.607,349.755.590
2.,Tabungan,515.644.428,521.039.799,517.114.641,522.647.920
3.,Deposito,425.742.491,430.243.873,429.690.727,435.480.503
4.,Uang Elektronik,493.430,456.179,493.430,456.179
5.,Liabilitas kepada Bank Indonesia,113.464,113.491,113.464,113.491
6.,Liabilitas kepada bank lain,12.881.279,9.480.779,12.684.209,9.334.547
7.,Liabilitas spot dan derivatif/forward,820.313,783.921,825.751,783.921
8.,"Liabilitas atas surat berharga yang dijual dengan janji dibeli kembali(repo)",24.616.575,9.724.245,24.616.575,9.997.592
9.,Liabilitas akseptasi,7.617.863,7.096.719,7.617.863,7.167.600
10.,Surat berharga yang diterbitkan,34.446.077,36.841.620,55.953.731,63.611.761
11.,Pinjaman/Pembiayaan yang diterima,30.492.742,39.290.379,82.073.302,79.857.593
12.,Setoran jaminan,12.402,12.142,12.451,12.193
13.,Liabilitas antarkantor,-,-,-,-
14.,Liabilitas lainnya,48.184.583,52.797.626,77.148.877,83.024.803
,TOTAL LIABILITAS,1.400.049.342,1.457.372.719,1.506.654.628,1.562.243.693
,,,,,
,EKUITAS,,,,
15.,Modal disetor,,,,
,a.Modal dasar,15.000.000,15.000.000,15.000.000,15.000.000
,b.Modal yang belum disetor -/-,(7.422.050),(7.422.050),(7.422.050),(7.422.050)
,c.Saham yang dibeli kembali (treasury stock) -/-,(3.019.133),(2.202.178),(3.019.133),(2.202.178)
16.,Tambahan modal disetor,,,,
,a.Agio,76.240.176,76.029.910,75.847.349,75.637.083
,b.Disagio -/-,-,-,-,-
,c.Dana setoran modal,-,-,-,-
,d.Lainnya,39.870,226.563,1.798.450,1.985.202
