Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
"LAPORAN RASIO KEUANGANPT BANK RAKYAT INDONESIA (PERSERO) TbkTanggal 30 Juni 2023 dan 2022(dalam %)",,,
Rasio,"30 Juni 2023(Direviu)",30 Juni 2022,
,,,
Rasio Kinerja,,,
1.,Kewajiban Penyediaan Modal Minimum (KPMM),"24,65","22,97"
2.,"Aset produktif bermasalah dan aset non- produktif bermasalah terhadap total aset produktif danaset non-produktif","1,97","2,18"
3.,Aset produktif bermasalah terhadap total aset produktif,"1,97","2,18"
4.,Cadangan Kerugian Penurunan Nilai (CKPN) aset keuangan terhadap aset produktif,"5,78","6,74"
5.,NPL gross,"3,10","3,32"
6.,NPL net,"0,76","0,86"
7.,Return on Asset  (ROA) 1),"3,93","3,82"
8.,Return on Asset  (ROA) 2),"3,14","3,11"
9.,Return on Equity  (ROE) 3),"23,11","21,43"
10.,Return on Equity  (ROE) 4),"18,40","17,08"
11.,Net Interest Margin  (NIM),"6,81","7,35"
12.,Beban Operasional terhadap Pendapatan Operasional (BOPO),"64,21","63,98"
13.,Cost to Income Ratio (CIR),"38,96","37,11"
14.,Loan to Deposit Ratio  (LDR),"87,83","88,95"
Kepatuhan (Compliance),,,
1.,a.    Persentase pelanggaran BMPK,,
,i.   Pihak terkait,"0,00","0,00"
,ii.   Pihak tidak terkait,"0,00","0,00"
,b.    Persentase pelampauan BMPK,,
,i.   Pihak terkait,"0,00","0,00"
,ii.   Pihak tidak terkait,"0,00","0,00"
2.,GWM,,
,a.    GWM utama rupiah,,
,- Harian,"0,00","0,00"
,- Rata-rata,"7,04","5,21"
,b.    GWM valuta asing (harian),"2,00","2,00"
3.,Posisi Devisa Neto (PDN) secara keseluruhan,"2,70","0,48"
