Unnamed: 0,Unnamed: 1,Unnamed: 2
"LAPORAN ARUS KASPT BANK RAKYAT INDONESIA (PERSERO) TbkUntuk Periode yang Berakhir Pada Tanggal 30 Juni 2023 dan 2022(Dalam Jutaan Rupiah)",,
POS - POS,KONSOLIDASIAN,
,"30 Juni 2023(Direviu)",30 Juni 2022
,,
ARUS KAS DARI KEGIATAN OPERASI,,
Pendapatan yang diterima,,
Penerimaan bunga dan investasi,7 8.189.032,6 9.953.146
Pendapatan syariah,5 .944.967,4 .335.095
Pendapatan premi,4 .541.342,4 .629.263
Pendapatan Penjualan Emas,3 .954.283,3 .635.535
Beban yang dibayar,,
Beban bunga,(19.656.825),(11.785.653)
Beban syariah,(578.942),(533.095)
Beban klaim,(3.454.370),(3.774.492)
Beban Harga Pokok Penjualan Emas,(3.795.494),(3.497.476)
Penerimaan kembali aset yang telah dihapusbukukan,6 .697.966,5 .078.975
Pendapatan operasional lainnya,1 4.985.261,1 2.792.447
Beban operasional lainnya,(40.076.639),(37.712.057)
(Beban) pendapatan non operasional - neto,(128.051),5 83
Pembayaran pajak atas penghasilan badan,(7.482.282),(4.735.150)
,,
Arus kas sebelum perubahan dalam aset dan liabilitas operasi,3 9.140.248,3 8.387.121
,,
Perubahan dalam aset dan liabilitas operasi:,,
(Kenaikan) penurunan aset operasi:,,
Penempatan pada Bank Indonesia dan lembaga keuangan lain,5 86.030,4 76.486
Efek-efek yang diukur pada nilai wajar melalui laporan laba rugi,1 .340.743,3 .002.389
Wesel ekspor dan tagihan lainnya,8 2.240,(11.674.695)
Efek-efek yang dibeli dengan janji dijual kembali,2 8.191.059,4 7.279.093
Kredit yang diberikan,(75.194.800),(59.319.588)
Pinjaman syariah,(1.293.120),(361.835)
Piutang pembiayaan,(3.619.285),(4.932.096)
Aset lain-lain,3 .726.156,(17.579.380)
Kenaikan (penurunan) liabilitas operasi:,,
Liabilitas segera,(7.898.607),3 .095.292
Simpanan:,,
Giro,(51.445.983),1 9.456.485
Tabungan,(5.533.279),2 .695.224
Deposito berjangka,(5.789.776),(23.913.011)
Simpanan dari bank lain dan lembaga keuangan lainnya,3 .349.662,(7.555.480)
Efek-efek yang dijual dengan janji dibeli kembali,1 4.618.983,(15.762.007)
Liabilitas lain-lain,4 .011.378,1 0.827.023
,,
Kas Neto yang Digunakan Untuk Kegiatan Operasi,(55.728.351),(15.878.979)
,,
ARUS KAS DARI KEGIATAN INVESTASI,,
,,
Hasil penjualan aset tetap,9 1.345,7 8.076
Penyertaan saham,5 5.059,(94.109)
Penerimaan dividen,6 5.636,4 4
Perolehan aset tetap,(3.397.674),(3.704.778)
"Penurunan efek-efek dan Obligasi Rekapitalisasi Pemerintah yang diklasifikasikan sebagai nilai wajar melaluipenghasilan komprehensif lain dan Biaya perolehan diamortisasi",2 3.305.515,4 3.789.304
,,
Kas Neto yang Diperoleh dari Kegiatan Investasi,2 0.119.881,4 0.068.537
