Unnamed: 0,Unnamed: 1,Unnamed: 2
"LAPORAN ARUS KASPT BANK RAKYAT INDONESIA (PERSERO) TbkUntuk Periode yang Berakhir Pada Tanggal 30 Juni 2023 dan 2022(Dalam Jutaan Rupiah)",,
POS - POS,KONSOLIDASIAN,
,"30 Juni 2023(Direviu)",30 Juni 2022
,,
,,
ARUS KAS DARI KEGIATAN PENDANAAN,,
Penerimaan pinjaman yang diterima,1 6.271.919,7 .172.172
Pembayaran pinjaman yang diterima,(13.606.379),(9.618.014)
Saham yang dibeli kembali,(816.955),(587.314)
Pembagian laba untuk dividen,(43.494.766),(26.406.603)
Pembayaran pinjaman subordinasi,(500.000),-
Penerimaan atas surat berharga yang diterbitkan,4 .563.418,7 .007.655
Pembayaran atas surat berharga yang jatuh tempo,(11.582.600),(6.135.195)
,,
Kas Neto yang Digunakan Untuk Kegiatan Pendanaan,(49.165.363),(28.567.299)
,,
PENURUNAN NETO KAS DAN SETARA KAS,(84.773.833),(4.377.741)
,,
PENGARUH PERUBAHAN KURS MATA UANG ASING,4 02,4 6.150
,,
KAS DAN SETARA KAS AWAL PERIODE,2 68.192.168,1 53.924.601
,,
KAS DAN SETARA KAS AKHIR PERIODE,1 83.418.737,1 49.593.010
,,
Kas dan setara kas akhir periode terdiri dari:,,
Kas,2 8.403.964,2 0.512.246
Giro pada Bank Indonesia,8 9.051.800,6 2.652.534
Giro pada bank lain,3 1.786.074,1 4.467.920
"Penempatan pada Bank Indonesia dan bank lain - jangka waktu jatuh tempo tiga bulan atau kurang sejak tanggalperolehan",3 2.690.339,5 1.960.310
Sertifikat Bank Indonesia - jangka waktu jatuh tempo tiga bulan atau kurang sejak tanggal perolehan,1 .486.560,-
,,
Total Kas dan Setara Kas,1 83.418.737,1 49.593.010
