Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
"CADANGAN KERUGIAN PENURUNAN NILAI DAN PENYISIHAN PENILAIAN KUALITAS ASETPT BANK RAKYAT INDONESIA (PERSERO) TbkTanggal 30 Juni 2023 dan 2022(dalam jutaan rupiah)",,,,,,,,,,,
No.,POS-POS,30 Juni 2023 (Direviu),30 Juni 2022,,,,,,,,
,,CKPN,PPKA wajib dibentuk,CKPN,PPKA wajib dibentuk,,,,,,
,,Stage  1,Stage  2,Stage  3,Umum,Khusus,Stage  1,Stage  2,Stage  3,Umum,Khusus
,,,,,,,,,,,
1.,Penempatan pada bank lain,49.253,-,-,425.305,-,34.382,-,-,251.598,-
2.,Tagihan spot dan derivatif/forward,-,-,-,11.093,-,-,-,-,6.165,-
3.,Surat berharga yang dimiliki,1.205.342,1.113.374,-,666.915,312,1.230.396,258.554,14.097,759.898,56.544
4.,Surat berharga yang dijual dengan janji dibeli kembali (Repo ),-,-,-,259.720,-,-,-,-,152.238,-
5.,"Tagihan atas surat berharga yang dibeli dengan janji dijual kembali(Reverse Repo )",-,-,-,-,-,-,-,-,-,-
6.,Tagihan akseptasi,248.960,7.299,-,76.179,-,244.704,113.931,-,78.887,81.144
7.,Kredit yang diberikan,17.408.995,37.842.705,24.687.811,9.948.170,27.895.386,20.808.638,41.976.053,25.634.359,9.172.810,29.557.394
8.,Penyertaan modal,-,-,-,51.154,-,-,-,-,48.088,-
9.,Tagihan lainnya,-,-,-,-,-,-,-,-,-,-
10.,Komitmen dan kontinjensi,1.355.442,4.887.406,19.540,767.167,155.633,1.073.071,5.339.591,17.545,586.710,659.684
,,,,,,,,,,,
