Unnamed: 0,Unnamed: 1
PENGURUS BANK,PEMEGANG SAHAM
,
DEWAN KOMISARIS,Pemegang Saham Pengendali (PSP) :
-Komisaris Utama:Kartika Wirjoatmodjo,Ultimate shareholder :
-Wakil Komisaris Utama/,"-Negara Republik Indonesia : 53,19%"
Komisaris Independen:Rofikoh Rokhim,
-Komisaris Independen:Hendrikus Ivo,Pemegang Saham Bukan PSP melalui pasar modal (? 5%) :
-Komisaris Independen:Agus Riswanto,-Tidak ada
-Komisaris Independen:Dwi Ria Latifa,
-Komisaris Independen:Nurmaria Sarosa,
-Komisaris Independen:Heri Sunaryadi,Pemegang Saham Bukan PSP tidak melalui pasar modal (? 5%) :
-Komisaris Independen:Paripurna Poerwoko Sugarda,-Tidak ada
-Komisaris:Rabin Indrajad Hattari,
-Komisaris:Awan Nurmawan Nuh*,
,
,
DIREKSI,"Jakarta, 30 Agustus 2023Direksi PT Bank Rakyat Indonesia (Persero) TbkSunarsoViviana Dyah Ayu R. K.Direktur UtamaDirektur"
-Direktur Utama:Sunarso,
-Wakil Direktur Utama:Catur Budi Harto,
-Direktur Keuangan:Viviana Dyah Ayu R. K.,
-Direktur Bisnis Mikro:Supari,
-Direktur Bisnis Kecil dan Menengah:Amam Sukriyanto,
-Direktur Bisnis Konsumer:Handayani,
-Direktur Bisnis Wholesale dan Kelembagaan:Agus Noorsanto,
-Direktur Kepatuhan:Ahmad Solichin Lutfiyanto,
-Direktur Manajemen Risiko:Agus Sudiarto,
-Direktur Human Capital:Agus Winardono,
-Direktur Digital dan Teknologi Informasi:Arga Mahanana Nugraha,
-Direktur Jaringan dan Layanan:Andrijanto,
,
