Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
"LAPORAN LABA RUGI DAN PENGHASILAN KOMPREHENSIF LAINPT BANK RAKYAT INDONESIA (PERSERO) TbkUntuk Periode yang Berakhir Pada Tanggal 30 Juni 2023 dan 2022(dalam jutaan rupiah)",,,,,,
No.,POS - POS,INDIVIDUAL,KONSOLIDASIAN,,,
,,,"30 Juni 2023(Direviu)",30 Juni 2022,"30 Juni 2023(Direviu)",30 Juni 2022
,,,,,,
PENDAPATAN DAN BEBAN OPERASIONAL,,,,,,
A. Pendapatan dan Beban Bunga serta Pendapatan Premi dan Beban Klaim,,,,,,
1.,Pendapatan Bunga,70.444.809,63.621.175,85.590.785,76.860.963,
2.,Beban Bunga,17.403.518,9.914.516,20.050.483,12.247.440,
,Pendapatan (Beban) Bunga Bersih,53.041.291,53.706.659,65.540.302,64.613.523,
3.,Pendapatan Premi,-,-,4.660.908,4.629.263,
4.,Beban Klaim,-,-,3.773.606,3.774.492,
,Pendapatan Premi dan (Beban Klaim) bersih,-,-,887.302,854.771,
,Pendapatan (Beban) Bunga Bersih serta Pendapatan Premi (Beban Klaim) Bersih,53.041.291,53.706.659,66.427.604,65.468.294,
B. Pendapatan dan Beban Operasional Lainnya,,,,,,
1.,Keuntu,gan (kerugian) dari peningkatan (penurunan) nilai wajar aset keuangan,( 1.451.497),608.167,( 1.281.072),664.367
2.,Keuntungan (kerugian) dari penurunan (peningkatan) nilai wajar liabilitas keuangan,-,-,-,-,
3.,Keuntu,gan (kerugian) dari penjualan aset keuangan,865.548,852.491,932.767,895.360
4.,Keuntungan (kerugian) dari transaksi spot dan derivatif/forward  (realised),1.840.586,36.239,1.837.299,39.545,
5.,Keuntungan (kerugian) dari penyertaan dengan equity method,439.265,287.849,499.125,341.154,
6.,Keuntungan (kerugian) dari penjabaran transaksi valuta asing,-,-,( 13.295),979,
7.,Pendapatan dividen,95.133,1.538.835,13,44,
8.,Komisi/,rovisi/fee  dan administrasi,10.011.562,8.798.151,10.222.819,9.366.552
9.,Pendapatan lainnya,8.216.132,5.410.976,12.836.363,9.520.673,
10.,Kerugi,n penurunan nilai aset keuangan (impairment),12.786.081,16.132.718,14.017.597,17.493.328
11.,Kerugian terkait risiko operasional,15.022,211.457,19.066,150.742,
12.,Beban t,naga kerja,13.532.427,14.457.894,18.861.253,19.024.850
13.,Beban,romosi,857.581,926.334,921.200,983.795
14.,Beban l,innya,12.974.635,10.253.265,20.401.720,17.489.928
,Pendapatan dan (Beban) Operasional Lainnya,( 20.149.017),( 24.448.960),( 29.186.817),( 34.313.969),
,,,,,,
,LABA (RUGI) OPERASIONAL,32.892.274,29.257.699,37.240.787,31.154.325,
,,,,,,
