Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
"LAPORAN KUALITAS ASET PRODUKTIF DAN INFORMASI LAINNYAPT BANK RAKYAT INDONESIA (PERSERO) TbkTanggal 30 Juni 2023 dan 2022(dalam jutaan rupiah)",,,,,,,,,,,,,
No.,POS - POS,INDIVIDUAL,,,,,,,,,,,
,,30 Juni 2023 (Direviu),30 Juni 2022,,,,,,,,,,
,,L,DPK,KL,D,M,Jumlah,L,DPK,KL,D,M,Jumlah
,,,,,,,,,,,,,
I.,PIHAK TERKAIT,,,,,,,,,,,,
1.,Penempatan pada bank lain,,,,,,,,,,,,
,a.Rupiah,-,-,-,-,-,-,-,-,-,-,-,-
,b.Valuta asing,-,-,-,-,-,-,-,-,-,-,-,-
2.,Tagihan spot dan derivatif/forward,,,,,,,,,,,,
,a.Rupiah,-,-,-,-,-,-,-,-,-,-,-,-
,b.Valuta asing,-,-,-,-,-,-,-,-,-,-,-,-
3.,Surat berharga yang dimiliki,,,,,,,,,,,,
,a.Rupiah,-,-,-,-,-,-,-,-,-,-,-,-
,b.Valuta asing,-,-,-,-,-,-,-,-,-,-,-,-
4.,"Surat berharga yang dijual dengan janji dibeli kembali(Repo)",,,,,,,,,,,,
,a.Rupiah,-,-,-,-,-,-,-,-,-,-,-,-
,b.Valuta asing,-,-,-,-,-,-,-,-,-,-,-,-
5.,"Tagihan atas surat berharga yang dibeli dengan janji dijualkembali (Reverse Repo)",,,,,,,,,,,,
,a.Rupiah,-,-,-,-,-,-,-,-,-,-,-,-
,b.Valuta asing,-,-,-,-,-,-,-,-,-,-,-,-
6.,Tagihan akseptasi,-,-,-,-,-,-,-,-,-,-,-,-
7.,Kredit yang diberikan dan pembiayaan yang diberikan *),,,,,,,,,,,,
,"a.Debitur Usaha Mikro, Kecil dan Menengah (UMKM)",,,,,,,,,,,,
,i.Rupiah,-,-,-,-,-,-,-,-,-,-,-,-
,ii.Valuta asing,-,-,-,-,-,-,-,-,-,-,-,-
,b.Bukan debitur UMKM,,,,,,,,,,,,
,i.Rupiah,180.894,-,-,-,-,180.894,174.443,-,-,-,-,1 74.443
,ii.Valuta asing,-,-,-,-,-,-,-,-,-,-,-,-
,"c.Kredit yang direstrukturisasi",,,,,,,,,,,,
,i.Rupiah,-,-,-,-,-,-,-,-,-,-,-,-
,ii.Valuta asing,-,-,-,-,-,-,-,-,-,-,-,-
8.,Penyertaan modal,-,-,-,-,-,-,-,-,-,-,-,-
9.,Tagihan lainnya,-,-,-,-,-,-,-,-,-,-,-,-
10.,Komitmen dan kontinjensi,,,,,,,,,,,,
,a.Rupiah,-,-,-,-,-,-,-,-,-,-,-,-
,b.Valuta asing,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,
