Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
"LAPORAN PERHITUNGAN KEWAJIBAN PENYEDIAAN MODAL MINIMUM  (KPMM) BANK UMUM KONVENSIONALPT BANK RAKYAT INDONESIA (PERSERO) TbkTanggal 30 Juni 2023 dan 2022(dalam jutaan rupiah)",,,,,,,
KOMPONEN MODAL,30 Juni 2023,30 Juni 2022,,,,,
,,,,"Individual(Direviu)","Konsolidasian(Direviu)",Individual,Konsolidasian
,,,,,,,
I,Modal Inti (Tier  1),224.079.870,266.050.064,221.100.854,256.618.818,,
,1CET 1,,,224.079.870,266.050.064,221.100.854,256.618.818
,"1.1Modal Disetor (setelah dikurangi Treasury Stock)",4.558.817,4.558.817,6.944.639,6.944.639,,
,1.2Cadangan Tambahan Modal,280.056.540,284.252.687,271.519.766,270.751.425,,
,1.2.1Faktor Penambah,284.749.423,289.289.913,275.075.911,275.148.867,,
,1.2.1.1Pendapatan komprehensif lainnya,19.848.571,20.118.055,16.864.083,17.172.630,,
,"1.2.1.1.1Selisih lebih penjabaran laporan keuangan",-,-,-,-,,
,1.2.1.1.2Potensi keuntungan dari peningkatan nilai wajar aset keuangan yang diukur pada nilai wajar melalui penghasilan komprehensif lain,-,-,-,-,,
,"1.2.1.1.3Saldo surplus revaluasi aset tetap",19.848.571,20.118.055,16.864.083,17.172.630,,
,1.2.1.2Cadangan tambahan modal lainnya (other disclosed reserves),264.900.852,269.171.858,258.211.828,257.976.237,,
,"1.2.1.2.1Agio",76.240.176,75.847.349,76.324.093,76.242.898,,
,1.2.1.2.2Cadangan umum,3.022.685,3.022.685,3.022.685,3.022.685,,
,"1.2.1.2.3Laba tahun-tahun lalu",159.372.471,161.178.039,155.039.317,154.108.019,,
,"1.2.1.2.4Laba periode berjalan",26.265.520,29.123.785,23.825.733,24.557.852,,
,1.2.1.2.5Dana setoran modal,-,-,-,-,,
,"1.2.1.2.6Lainnya",-,-,-,44.783,,
,1.2.2Faktor Pengurang,4.692.883,5.037.226,3.556.145,4.397.442,,
,1.2.2.1Pendapatan komprehensif lainnya,2.734.635,2.802.699,3.502.595,3.535.278,,
,1.2.2.1.1Selisih kurang penjabaran laporan keuangan,241.026,241.483,107.672,105.539,,
,1.2.2.1.2Potensi kerugian dari penurunan nilai wajar aset keuangan yang diukur pada nilai wajar melalui penghasilan komprehensif lain,2.493.609,2.561.216,3.394.923,3.429.739,,
,1.2.2.2Cadangan tambahan modal lainnya (other disclosed reserves),1.958.248,2.234.527,53.550,862.164,,
,1.2.2.2.1Disagio,-,-,-,-,,
,1.2.2.2.2Rugi tahun-tahun lalu,-,-,-,-,,
,1.2.2.2.3Rugi periode berjalan,-,-,-,-,,
,1.2.2.2.4Selisih kurang antara Penyisihan Penilaian Kualitas Aset (PPKA) dan Cadangan Kerugian Penurunan Nilai (CKPN) atas aset produktif,-,-,-,-,,
,"1.2.2.2.5Selisih kurang jumlah penyesuaian nilai wajar dari instrumen keuangan dalam Trading Book",-,-,-,-,,
,1.2.2.2.6PPKA non-produktif,58.633,59.840,53.550,59.616,,
,1.2.2.2.7Lainnya,1.899.615,2.174.687,-,802.548,,
,,,,,,,
,1.3Kepentingan Non-Pengendali yang dapat diperhitungkan,-,453.436,-,459.442,,
,1.4Faktor Pengurang Modal Inti Utama,60.535.487,23.214.876,57.363.551,21.536.688,,
,1.4.1Pajak tangguhan,13.288.320,15.940.845,15.229.935,17.670.818,,
,1.4.2Goodwill,-,806.416,-,806.416,,
,1.4.3Aset tidak berwujud,3.552.585,3.799.972,-,-,,
,1.4.4Penyertaan yang diperhitungkan sebagai faktor pengurang,43.694.582,2.667.643,42.133.616,3.059.454,,
,1.4.5Kekurangan modal pada perusahaan anak asuransi,-,-,-,-,,
,1.4.6Eksposur sekuritisasi,-,-,-,-,,
,1.4.7Faktor pengurang modal inti utama lainnya,-,-,-,-,,
,,,,,,,
,"2Modal Inti Tambahan/Additional Tier 1 (AT 1)",-,-,-,-,,
,2.1Instrumen yang memenuhi persyaratan AT 1,-,-,-,-,,
,2.2Agio/Disagio,-,-,-,-,,
,2.3Faktor Pengurang Modal Inti Tambahan,-,-,-,-,,
,"2.3.1Penempatan dana pada instrumen AT 1 dan/atau Tier 2 pada bank lain",-,-,-,-,,
,"2.3.2Kepemilikan silang pada entitas lain yang diperoleh berdasarkan peralihan karena hukum, hibah, atau hibah wasiat",-,-,-,-,,
,,,,,,,
